Velocity (m/s),Speed (km/h),Impact Force,Vibration,Pressure,Temperature,G Force,Impact Force Classification
12.483422161182592,44.83689821600382,72.99983109899703,6.381445683721739,44.83680618066248,84.72365776964197,7.415552031175952,3
31.687307832642503,39.94945154776839,18.451199559871156,4.592924535341931,14.222666274308704,49.45170437193704,8.811018750963168,1
24.39735808057413,21.138469500343206,34.663969436988616,9.644985248639408,18.953883745832396,19.546561063218583,4.63179875379001,2
19.953287278287227,72.87200041217855,66.32806368578183,2.189784509842382,27.10066922713827,73.66417866100926,2.8917873167340757,3
5.200101285946409,57.19489926103547,48.20893445244799,5.8785641599894065,30.548000154742255,41.867813568329574,3.188465743554615,2
5.199297362805634,103.88411907888045,73.85710386348939,7.002100149902226,36.33927138158161,59.462748345249715,6.969482583643939,3
1.935926793566088,3.8531496578469904,96.12079012228597,8.255644893453816,38.31900434452416,10.726529017393883,5.675580339914962,4
28.86965093867859,77.26415130661516,11.654668771519749,4.069710304280071,68.35745182313039,63.158398951599224,4.864941309772571,1
20.035163341401148,91.55386542138733,70.95677163980609,6.869219076574815,76.43597862390618,37.355048894512436,2.0277407877617404,3
23.600059017942193,91.13838830259684,23.034415563211454,3.0320147138428277,46.33188121895339,33.418974971849444,8.754556874989033,1
0.6860811948790955,106.32887605146301,41.44767274075692,4.354760923618203,136.09446298810923,97.99155787778012,7.810204475074061,2
32.32709537255927,87.4840491395393,3.2862725795139824,8.956271312033993,82.97095850084318,43.243064276024725,1.406386017392296,1
27.745313217878056,111.33720739772356,13.590738229269894,9.499076093309544,118.12153920501102,67.80383781157342,3.6738845460213665,1
7.077262558906944,39.918791978506974,31.977728904889968,7.188173469272647,138.6356748631265,62.77275355738411,5.421320936388914,2
6.060226157012663,60.385130010185165,34.198580528798495,3.7435189077618505,24.47026718637078,10.430355088515764,4.54338622771532,2
6.1128723134149485,1.689559593946881,89.95852164620958,8.20057789974664,64.18117255734518,74.79275370643161,3.9779583873773836,4
10.140393957841392,0.8349104763949455,74.18129092665151,0.2586708172542018,64.98156025719132,32.315920343357654,7.188318975605293,3
17.490131866302487,28.815194454182386,97.2182968187041,1.0274591053942106,53.170837565753125,79.8939549196735,0.5450350423783745,4
14.396727471341718,12.096863656690232,59.90715103352405,6.613737363753611,1.335879982745991,60.764078261538245,4.714103391259419,3
